authors
Hiromu Arakawa/Akira Watanabe
Paulo Coelho/Alan R. Clarke/Mœbius
Robert   Harris
Edward Bulwer-Lytton/John Gregory Betancourt
John Steinbeck
Neil Strauss
Ellen Raskin
Arthur Golden
David        James/Peggy Mulloy/Rob Marshall/Arthur Golden
Mineko Iwasaki/Rande Brown
J. Torres/Eric  Kim
Margaret Johnson/Philip Prowse
Gary Chapman
Dan Brown
Dan Brown/Raúl Amundaray
Dan Brown/Daniel Roche
P.J. Parrish
Thomas J. Stanley/William D. Danko
Napoleon Hill
Mike   Mason
Riki Anne Wilchins
Donald J. Trump/Tony Schwartz
George S. Clason
Trevanian/Gisela Stege
David McCullough
Peter  Stone/Sherman Edwards
Robert J. Allison
Pearl S. Buck
Rick Warren
Eric Schlosser
Lisa See
John Grisham
Robert A. Caro
Stephen W. Frey
Bill Phillips/Michael D'Orso
Pamela Peeke/Cindy Crawford
Bill Phillips
Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher
Robert P. Miles/Tom Osborne
Marvin N. Olasky/John R. Perry
Barbara Park/Denise Brunkus
Sarah Mlynowski
Michael   Lewis
Frank McConnell
Ursula Ferrigno/Jason Lowe/Maxine  Clark
Giada De Laurentiis/Victoria Pearson
Giada De Laurentiis
Tyler Florence/Petrina Tinslay
Tyler Florence/JoAnn Cianciulli/Bill Bettencourt/Bobby Flay
Steven D. Levitt/Stephen J. Dubner
Barry Eisler
Yann Martel
Yann Martel/Nicole Martel/Emile Martel
Robert Templer
James Frey
Python Bonkers
James Pinocchio/Pablo Fenjves
James M. Kouzes/Barry Z. Posner
Donald T. Phillips
Gary Yukl
Rudolph W. Giuliani
John Gray
Ron  Louis/David Copeland
Jean M. Auel
Doug Walsh
Robert Greene/Joost Elffers
Steven Pressfield
Margaret Weis/Tracy Hickman
Thomas Harlan
Steven Pressfield/Robert McKee
Stephen J. Rosen/Steven Pressfield
David J. Danelo/Steven Pressfield
Plato/Walter Hamilton
Plato/Robin Waterfield
Plato/C.J. Rowe
Plato/Benjamin Jowett
Josef Pieper/Richard Winston/Clara Winston
Plato/C.D.C. Reeve
Plato/James H. Nichols Jr.
Plato/Walter Hamilton/Chris Emlyn-Jones
Herodotus/Aubrey de Sélincourt/John M. Marincola
Herodotus/Henry Francis Cary
Herodotus/Carolyn Dewald/Robin Waterfield
Herodotus/Aubrey de Sélincourt/Andrew Robert Burn
Herodotus/Jennifer Tolbert Roberts/Walter Blanco
Herodotus/Edward Henry Blakeney/George Rawlinson/Rosalind Thomas
Herodotus/Peter Grene
Homer/Robert Fagles/Bernard Knox
Homer/Stanley Lombardo/Sheila Murnaghan
Homer/Robert Fitzgerald/Andrew Ford
Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu
Homer/W.H.D. Rouse
Homer/Sheila Murnaghan/Stanley Lombardo
Homer/Robert Fitzgerald/D.S. Carne-Ross
Homer/Richmond Lattimore
Virgil/Barbara Weiden Boyd
Virgil/Henry Rushton Fairclough/G.P. Goold
Ed Roberson
Virgil/Cecil Day-Lewis
Paul  Kirk
William Shakespeare/Stephen Orgel/A.R. Braunmuller
William Shakespeare
William Shakespeare/Harold Bloom/Rex Gibson
Reduced Shakespeare Company/Adam Long/Daniel Singer/Jess Winfield
Paulo Coelho/Alan R. Clarke
Paulo Coelho
Paulo Coelho/Margaret Jull Costa
Paulo Coelho/Clifford E. Landers
Paulo Coelho/Margaret Jull Costa/Kâmuran Şipal
Carla Lynn Stockton
William Shakespeare/Terri Mategrano
Giorgio De Santillana/Hertha Von Dechend
Thucydides/C.F. Smith
Thucydides/Paul Woodruff
Thucydides/Steven Lattimore
Thucydides/Jennifer Tolbert Roberts/Walter Blanco
Cynthia W. Shelmerdine
Euripides/Richmond Lattimore/David Grene/Rex Warner/Ralph Gladstone
Euripides/David Grene/Richmond Lattimore/Emily Townsend Vermeule/Elizabeth Wyckoff/William Arrowsmith
Euripides/David Grene/Richmond Lattimore/William Arrowsmith/Frank William Jones/Charles R. Walker
Anne Carson/Euripides
Euripides/Moses Hadas/John Maclean
Euripides/David Grene/Richmond Lattimore/William Arrowsmith/John Frederick Nims/Ronald Frederick Willetts
Euripides/David Grene/Richmond Lattimore/Witter Bynner/William Arrowsmith
Euripides/John Davie/Richard Rutherford
Euripides/David Kovacs
Euripides/Donald J. Mastronarde
Euripides/Reginald Gibbons/Peter H. Burian
Euripides/David Thompson/J. Michael Walton
Euripides
Wole Soyinka
Euripides/James Morwood/Robin Waterfield
Euripides/William Arrowsmith
Euripides/Georgia Ann Machemer/Michael   Collier
William Allan
Robert J. Milch
Euripides/Pantelis Michelakis
Euripides/David Grene/Richmond Lattimore
Aeschylus/David Grene/Richmond Lattimore
Aeschylus/David Grene/Richmond Lattimore/Seth Benardete
Aeschylus/Alan Shapiro/Peter H. Burian
Aeschylus/Robert Fagles/William Bedell Stanford
Aeschylus/Peter Meineck/Helene P. Foley
Aeschylus/Philip Vellacott
Aeschylus/Ted Hughes
Aeschylus/David R. Slavitt/Smith Palmer Bovie
Aeschylus/Richmond Lattimore/David Grene
Simon Goldhill
Aeschylus/George Thomson/Richard Seaford
Aeschylus/E.D.A. Morshead
Sophocles/David Grene/Richmond Lattimore/John Moore/Michael Jameson
Sophocles/Paul Roche
Sophocles/Robert Fitzgerald/Dudley Fitts
Sophocles/Robert Fagles/Bernard Knox
Sophocles/Peter Meineck/Paul Woodruff
Sophocles/David Grene/Charles Segal
Sophocles/E.F. Watling
Sophocles/Edith Hall/H.D.F. Kitto
Sophocles/J.E. Thomas
Sophocles/Roger D. Dawe
Sophocles/Bernard Knox/Cynthia Brantley Johnson
Aristophanes/William Arrowsmith/Richmond Lattimore/Douglass Parker
Aristophanes/Jeffrey Henderson
Aristophanes/Moses Hadas
Aristophanes/David R. Slavitt
Aristophanes/Peter Meineck
Aristophanes/Alan H. Sommerstein
Aristophanes/Kenneth James Dover
Aristophanes/David B. Barrett
Aristophanes/Dudley Fitts
W. John Campbell
Douglas M. MacDowell
Aristophanes/Douglass Parker
Aristophanes/S. Douglas Olson
Aristophanes/Sarah Ruden
Aristophanes/Alan H. Sommerstein/David B. Barrett/David Brett
Andrea Wilson Nightingale
Mark Haddon
George Pelecanos
Annie Proulx
David    Allen
Geoffrey M. Bellman
Ricardo Piglia
Ricardo Piglia/Amanda Hopkinson
Karen  O'Connor/Larry J. Sabato
Ernesto Sabato
Augustine of Hippo/John E. Rotelle/Maria Boulding
Augustine of Hippo/Thomas Merton/Marcus Dods
Augustine of Hippo/Bruce Harbert/John E. Rotelle
Peter R.L. Brown
Augustine of Hippo/D.W. Robertson Jr.
Augustine of Hippo/Peter R.L. Brown/Frank Sheed
Henry Chadwick
Augustine of Hippo/Boniface Ramsey/Edmund Hill
Anthony Bourdain
Ovid/Allen Mandelbaum
Ovid/David Raeburn/Denis Feeney
Ovid/Bernard Knox/Charles    Martin
Ovid/William Scovil Anderson
Norma Goldman/Jacob E. Nyenhuis
Ovid/J.H. Mozley/G.P. Goold
Ovid/Peter Green
Ovid/Frank Justus Miller
Norma Goldman/Michael  Rossi
Michael C.J. Putnam
Charles Segal
Sophocles/Reginald Gibbons/Charles Segal
Richard Johnsonbaugh/Martin Kalin
Homer/Robert Fitzgerald
Daniel Pinchbeck
Daniel Pinchbeck/Lee Fukui
Jon Ronson
Daniel Duane
Jon Krakauer
John Eldredge
Jung Chang
Nelson DeMille
Catherine Coulter
Jack London/Avi
Judy Sierra/Marc Brown
Charles P. Rubenstein
Barbara Ehrenreich
Michel Foucault/Robert Hurley
Sue Birtwistle/Sue Conklin/Susie Conklin
Jane Austen
Jane Austen/Vivien Jones
Jane Austen/George Saintsbury/Hugh  Thomson
Jane Austen/Carol Howard
David  Roberts/Jon Krakauer
Valerian Albanov/Jon Krakauer/David  Roberts/Alison Anderson/Валериан Альбанов
Thomas L. Friedman
David McClung/Peter Schaerer
Arthur J. Roth
Louisa May Alcott
Louisa May Alcott/Scott McKowen
Louisa May Alcott/Paula Danziger
Louisa May Alcott/Jessie Willcox Smith/Frank T. Merrill
Louisa May Alcott/Elaine Showalter
Charles Dickens/Keith Cox/Cynthia Brantley Johnson
Charles Dickens/Gillen D'Arcy Wood
SparkNotes
Charles Dickens/Simon Schama
James B. Stewart
Julia Golding
Charles Dickens
Charles Dickens/Mary Gaitskill/Hablot Knight Browne
Charles Dickens/Gish Jen
Daniel Pool
Jane Smiley
Charles Dickens/Patricia Ingham/Hablot Knight Browne
Colleen Sexton
Philip Nel
Sean O'Brien
Aristophanes/B.B. Rogers
Aristophanes/Robert Mayhew
Aristophanes/F.W. Hall/W.M. Geldart
Paul Anthony Cartledge
Raymond Chandler/Frank MacShane
Raymond Chandler/Tom Hiney
Raymond Chandler
Paul Murray
Patti   Davis
Masaki Yamada/Yuji Oniki/Carl Gustav Horn
Daniel C. Dennett
Nicholas Humphrey/Daniel C. Dennett
Douglas R. Hofstadter/Daniel C. Dennett
Stephen Hawking
Stephen Hawking/Leonard Mlodinow
David Filkin/Stephen Hawking
Stephen Hawking/Kip S. Thorne/Igor Novikov/Timothy Ferris/Alan Lightman/Richard     Price
John Boslough
Stephen Hawking/Roger Penrose
Lawrence M. Krauss/Stephen Hawking
Phillip Glasier
Timothy Ferris
Ayn Rand/Robert Mayhew/Peter   Schwartz
Ayn Rand/Leonard Peikoff/David Harriman
Nancy L. Mace/Peter V. Rabins
Jorge Cruise
Thom Hartmann/Joseph Chilton Pearce/Neale Donald Walsch
Michael Cunningham
Malcolm Gladwell
Ted Dekker
Mark Hoppus/Anne Hoppus/Alex Gaskarth
Jane Austen/Hugh  Thomson
Karen Joy Fowler
Jane Austen/Deirdre Le Faye
Jane Austen/James Kinsley/Anna Massey/Richard S. Hartmetz/Maurgaux Motin/Deidre Shauna Lynch
Kim Wilson/Tom Carpenter
Ernest Hemingway/Donald Sutherland
Jeanne Sallade Criswell/Gary Carey
Julian Barnes
Gustave Flaubert/Francis Steegmuller
Gustave Flaubert/Douglas Parmée
Gustave Flaubert/Roger Whitehouse/Geoffrey Wall
Gustave Flaubert/Robert Baldick/Geoffrey Wall
Jean-Paul Sartre/Carol Cosman
Jeffrey Eugenides
Doris Kearns Goodwin
Thomas May/John   Adams
Abigail Adams/Frank Shuffelton
Joseph J. Ellis
John  Adams/John Patrick Diggins
Ruth Westheimer
Jennifer Watson
David D. Burns
Elisabeth Kübler-Ross
Lynne Ann DeSpelder/Albert Lee Strickland
Mark Shepard
Stephen R. Covey
Dan Millman
Dan Millman/Robert D. San Souci/T. Taylor Bruce
Lance Armstrong/Sally Jenkins
John Wilcockson/Graham   Watson
Truman Capote/Reynolds Price
Truman Capote
Margaret Truman
Truman Capote/Scott Brick
Steven Johnson
Temple Grandin/Margaret M. Scariano
Iris Fry
Edith Wharton/Laszlo Kubinyi
Edith Wharton/R.W.B. Lewis
Edith Wharton/Maureen Howard
Edith Wharton/Cynthia Griffin Wolff
Edith Wharton
Zilpha Keatley Snyder/Alton Raible
Douglas Adams/John Lloyd
J.R.R. Tolkien/Humphrey Carpenter/Christopher Tolkien
J.R.R. Tolkien/Christopher Tolkien
Ruth S. Noel/J.R.R. Tolkien
J.R.R. Tolkien/Christina Scull/Wayne G. Hammond
E.V. Gordon/A.R. Taylor
Sarah M.  Anderson/Karen Swenson
Jeffery Deaver
Paul Yee
Herman Melville/William Hootkins
Jan Needle/Patrick Benson/Herman Melville
Herman Melville/Carl F. Hovde
Michael J. Davey/Duncan Wu
Geraldine McCaughrean/Victor G. Ambrus/Herman Melville
Edward F. Edinger
Julian Markels
Steve Martini
Terry Pratchett
Mark Twain/Grover Gardner
Susan  Griffith
Theocritus/Kenneth James Dover
Hesiod/Glenn W. Most
Wole Soyinka/Simon Gikandi
H.G. Wells/Patrick Parrinder/Steven McLean/Marina Warner
H.G. Wells/Cynthia Brantley Johnson/Benjamin Beard
Joseph McMoneagle
H.G. Wells/Melvin Burgess
H.G. Wells/John R. Hammond
H.G. Wells/Ursula K. Le Guin
H.G. Wells/Edward Mendelson/Patrick Parrinder
Umberto Eco
Henri J.M. Nouwen
Timothy B. Tyson
José Saramago/Giovanni Pontiero
José Saramago/Margaret Jull Costa
José Saramago/Peter Sís/Margaret Jull Costa
José Saramago/Pilar del Río
Kahlil Gibran
Kahlil Gibran/جبران خليل جبران/Jihad El
Kahlil Gibran/جبران خليل جبران/H.M. Nahmad/Robert Hillyer
Jack Kerouac
Jack Kerouac/Ann Charters
Mark Stevens/Annalyn Swan
Julie Sylvester/David Sylvester
David  Allen/Tina Blythe/Gene Thompson-Grove
Sun Tzu/Mark McNeilly
Al Ries/Jack Trout
Seth Godin/Malcolm Gladwell
Clayton M. Christensen/L.J. Ganser
Charles Dickens/David Trotter/Charlotte Mitchell
Charles Dickens/Edgar Rosenberg
Erasmus/Martin Luther/Philip S. Watson/E. Gordon Rupp
Harper Lee
Harper Lee/Sissy Spacek
David H. Chilton
Jonathan Swift
Jonathan Swift/Jesse Gale
Xavier de C./Xavier de C./Joseph Rowe
Henry James/R.D. Gooder
Henry James/Myra Jehlen
Henry James/Leo Bersani
Henry James/John Hollander/David Bromwich
Geoffrey Chaucer/Nevill Coghill
Geoffrey Chaucer/David  Wright
Geoffrey Chaucer/Jill Mann
Geoffrey Chaucer/Vincent Foster Hopper
Helen  Cooper
Geoffrey Chaucer/Brian Stone
Geoffrey Chaucer
Geoffrey Chaucer/Larry Dean Benson/F.N. Robinson
Geoffrey Chaucer/Theodore Morrison
Mark Kurlansky
Deloris Jordan/Kadir Nelson/Roslyn M. Jordan
Monique Truong
Abdul Rahman Munif/Peter Theroux
Kim Stanley Robinson
Walter Benjamin/Hannah Arendt/Harry Zohn/Leon Wieseltier
Saul Steinberg/Joel Smith/Charles Simic
Philip Dutre
David Guterson
Dave Pelzer
William S. Pollack/Mary Pipher
Douglas Coupland
Jean Aitchison/Diana M. Lewis
Ernest Becker/Sam Keen/Daniel Goleman
Howard Zinn
Howard Zinn/Kathy Emery/Ellen Gordon Reeves
Richard Hollis
Lisa Lowe
Jonathan Hale
David Bodanis
Rolland Hein/Clyde S. Kilby
Madeleine L'Engle/Giotto di Bondone
Madeleine L'Engle/Mary Chambers
Friedrich Nietzsche/Raymond Geuss/Ronald Speirs
Friedrich Nietzsche/Francis Golffing
Friedrich Nietzsche
Friedrich Nietzsche/Michael Tanner/Shaun Whiteside
Alastair Lamb
Mark Twain/David Lionel Smith/Sherley Anne Williams
Mark Twain/Michael Prichard
Katherine Paterson/Donna Diamond
Katherine Paterson
Emil M. Cioran/Richard Howard
Tanya Huff
Tracy Chevalier
Rosalind Laker
Tom Hunter/Tracy Chevalier/Colin Wiggins
Tite Kubo
Tsugumi Ohba/Takeshi Obata/大場 つぐみ/小畑 健
Tsugumi Ohba/Takeshi Obata
Valerie Parv
Patrick Süskind/John E. Woods
Patrick Süskind/Jean-Jacques Sempé
Gary Paulsen/Steve Chorney
Mike  Rowe/Ronald Radano
Daniel Defoe/Virginia Woolf
Daniel Defoe/John J. Richetti
Daniel Defoe/Michael Shinagel
Daniel Defoe/Avi
Daniel Defoe
Daniel Defoe/Manuel Schonhorn/Charles   Johnson
Mark Twain/Paul Baender/Dahlia Armon/Walter Blair
Mark Twain/Lee Nelson
Mark Twain/Guy Cardwell/Louis J. Budd
Mark Twain/Guy Cardwell/John Seelye/Walter Trier
Mark Twain/E.W. Kemble
Mark Twain/George Saunders
Mark Twain/Michael Patrick Hearn/E.W. Kemble
Mark Twain
Mark Twain/Lin Salamo/Victor Fischer/Michael B. Frank
Mark Twain/Charles Neider
Mark Twain/Louis J. Budd
James Hilton
Louisa May Alcott/C. Michael Dudash/Stephen W. Hines
Nancy Friday
Frances Hodgson Burnett
Frances Hodgson Burnett/Sandra M. Gilbert
Martha Hailey DuBose/Frances Hodgson Burnett/Lucy Corvino/Arthur Pober
Frances Hodgson Burnett/Alison Lurie
Frances Hodgson Burnett/Nancy Bond
Ann Thwaite
Amy Cotler/Frances Hodgson Burnett/Prudence See
Thomas Sowell
Selina Shirley Hastings/Juan Wijngaard
Alcoholics Anonymous
Overeaters Anonymous
Kimon Nicolaides/Mamie Harmon
Andrew Weil
Bernard Malamud/Jonathan Safran Foer
Bernard Malamud/Robert Giroux
Bernard Malamud/Jonathan Rosen
Lawrence M. Lasher
Bernard Malamud/Aleksandar Hemon
Matthew Barber/Elizabeth von Arnim
Elizabeth von Arnim
E.M. Forster
E.M. Forster/Benjamin DeMott
Lionel Trilling/E.M. Forster
E.M. Forster/Gilbert Adair/Elizabeth Heine
P.N. Furbank
Robert Hellenga
Gordon S. Wood
Gordon Korman
Deborah  Gordon
Ivo Andrić/William H. McNeill
Jean Estoril
Ivo Andrić/Pascale Delpech
Jean Estoril/Mabel Esther Allan
Plato/Reginald E. Allen
Aristotle/W.S. Hett
Aristophanes/Peter Meineck/Ian C. Storey
Euripides/Gilbert Murray
David Grene/Richmond Lattimore/Aeschylus/Sophocles/Euripides
Alan Brennert
Eric Jensen
Angus Gellatly/Oscar Zárate/Richard Appignanesi
Isabel Allende/Margaret Sayers Peden
Isabel Allende
Isabel Allende/Richard D. Woods/Kenneth M. Taggart
Ivo Andrić/Ernst E. Jonas
Jean Estoril/Jenny Sanders
Mark Kurlansky/S.D. Schindler
Mark Kurlansky/Dalai Lama XIV
Open City Magazine/James Purdy/Daniel Pinchbeck/Michael Cunningham/Deborah Garrison/Rem Koolhaas/Rick Moody/Strawberry Saroyan/Debra Garrison
Wallace Stegner/Jackson J. Benson
Steve Krug
Louis de Bernières
Faïza Guène/Sarah    Adams
Lawrence Otis Graham
Otis Williams/Patricia Romanowski
Colleen McCullough
Jill Colella/CliffsNotes
Mitch Albom
Tim O'Brien
Nicholas Sparks
Nicholas Sparks/Micah Sparks
Nicholas Sparks/Ramón González Férriz
Gwyn Hyman Rubio
Lori Avocato/Dana Cameron/Mary Dahiem/Suzanne Macpherson/Cait London/Kerrelyn Sparks/Mary Daheim
Marisha Pessl
Lois Beckwith
Harry G. Frankfurt/Baruch Spinoza
Janet Evanovich
Jayne Ann Krentz
Sarah Ban Breathnach
Marjorie Weinman Sharmat/Mitchell Sharmat/Denise Brunkus
George E. Stanley
Kaho Miyasaka
Fulton J. Sheen
George MacDonald/Michael R. Phillips
Ivan Turgenev/Constance Garnett
Jane Moore
Amanda Clark
Justin   O'Brien
Antonio Gramsci
L.M. Montgomery
L.M. Montgomery/Mary Henley Rubio/Elizabeth Hillman Waterston
L.M. Montgomery/Rea Wilmshurst
L.M. Montgomery/Susan O'Malley
Arthur Conan Doyle
Arthur Conan Doyle/Leslie S. Klinger
E.J. Wagner
Arthur Conan Doyle/John Gielgud/Ralph Richardson/Orson Welles
Nick Rennison
NOT A BOOK
Arthur Conan Doyle/Paul Bachem
Eric Tyson
Eric Tyson/Rich Tennant
Clare Naylor
Bruce H. Wilkinson/David Kopp/Heather Harpham Kopp
Lois Lowry
Bill Brittain/Andrew Glass
Jack Weatherford
Claire Messud
Zadie Smith
Libba Bray
Kym Douglas/Cindy Pearlman
Anna Sewell
Ann Patchett
Norman Sherry
Graham Greene/Pico Iyer
Graham Greene/John Updike
Graham Greene
Graham Greene/Christopher Hitchens
Graham Greene/Paul Theroux
Graham Greene/Robert  Stone
Chuck Palahniuk
Herman Melville/Warner Berthoff
Herman Melville/Robert Penn Warren
Herman Melville/G. Thomas Tanselle
Herman Melville/Harrison Hayford
Herman Melville/Harold Beaver
Helen Ericson
Maya Gold
Ian Fleming
Madeleine Brent
Jack Kerouac/George Condo
Noel Streatfeild
Noel Streatfeild/Diane Goode
Rumer Godden/Gary Blythe
Rumer Godden
Rumer Godden/Christian Birmingham
Anne Chisholm
Jonathan Franzen
Lisa Whelchel/Stormie Omartian
P.D. James
Henri Blocher
Nina Bangs
Michael Jan Friedman
P.D. James/Christa Seibicke
Miguel de Cervantes Saavedra/Edith Grossman/Harold Bloom
Miguel de Cervantes Saavedra/John Rutherford/Roberto González Echevarría
Miguel de Cervantes Saavedra/Walter Starkie
Miguel de Cervantes Saavedra/Tobias Smollett/Carlos Fuentes
Vladimir Nabokov/Fredson Bowers/Guy Davenport/Miguel de Cervantes Saavedra/Samuel Putnam
Marianne Sturman
J.A. Jance
Fern Michaels
Eric Klinenberg
Lora Leigh/Sherri L. King/Lorie O'Clare/Jaci Burton
Ruth Prawer Jhabvala
Sarah Macdonald
Joel Salatin/Michael Pollan
Nicole Krauss
Thomas E. Woods Jr.
Tom Standage
Karen Armstrong
Ernest Hemingway/William Hurt
Barbara Fairchild
Ina Garten/Melanie Acevedo
Diane Johnson
Leonard Michaels/Diane Johnson
Diane Johnson/Carlos Milla Soler/Roberto Fernandez Sastre
Laura Dave
Dan Simmons/Carlos Alberto Gardini
Dan Simmons
J. Michael Straczynski/Dan Jurgens
Dan Simmons/Joachim Körber
Dan Simmons/Guy Abadia
Michael Chabon
Michael Chabon/Glen David Gold/Bill Sienkiewicz/Howard Chaykin/Gene Colan/Steve Lieber/Eric Wight/Kevin  McCarthy
Max Lucado
Paulo Coelho/Amanda Hopkinson/Nick Caistor
J.D. Salinger
Brenda Walpole
Bret Easton Ellis
Scott Turow
Pete Hautman
Ronald B. Flowers
Thomas  Moore
Elizabeth Clare Prophet
Arielle Ford/Deepak Chopra
Viktor E. Frankl/Harold S. Kushner/William J. Winslade/Isle Lasch
Viktor E. Frankl/Gordon W. Allport/Ilse Lasch
Eric R. Kandel
Peter Kent
Andy Hunt/Dave Thomas
Johanna Rothman/Esther Derby
Anne Hoppus
Brigid Avison
Roderick Townley
Ray Oldenburg
James C. Collins/Jerry I. Porras
Amy Sedaris
